Index,Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID,RQ1 - Interaction Input - Verbal,RQ1 - Interaction Input - Camera ,RQ1 - Interaction Input - Tactile,RQ1 - Interaction Input - Gestural,RQ1 - Interaction Input - Mechanical,RQ1 - Interaction Input - Orientational,RQ1 - Interaction Input - Contextual,RQ1 - Output modality - Audio,RQ1 - Output modality - Visual,RQ1 - Output modality - Motion ,RQ1 - Output modality - Gustation,RQ1 - Output modality - Thermoception,RQ1 - Scalar attributes - Morphable ,RQ1 - Scalar attributes - Customisability,RQ1 - Scalar attributes - Automaticity,RQ1 - Scalar attributes - Expressivity,RQ1 - Scalar attributes - Adaptive,RQ1 - Scalar attributes - Practicality,RQ1 - Scalar attributes - Combined ,RQ1 - Scalar attributes - Parallel ,RQ1 - Layout - Symbols ,RQ1 - Layout - Pictographic ,RQ1 - Layout - Text,RQ1 - Layout - Animation / video,RQ1 - Layout - Grid ,RQ1 - Layout - VSDs,RQ1 - Layout - Novel,RQ1 - Layout - No layout,RQ1 - Communication type  - Verbal ,RQ1 - Communication type  - Nonverbal,RQ1 - Scenarios and communication partners - Fellow AC ,RQ1 - Scenarios and communication partners - Family or friends ,RQ1 - Scenarios and communication partners - Professionals  ,RQ1 - Scenarios and communication partners - Groups ,RQ1 - Scenarios and communication partners - Strangers ,RQ1 - Scenarios and communication partners - Anyone  ,RQ1 - Scenarios and communication partners - Virtual ,RQ1 - Scenarios and communication partners - Unclear ,RQ1 - Communication model - Linear ,RQ1 - Communication model - Interactive ,RQ1 - Communication model - Transactional ,RQ2 - User study method - Controlled experiment ,RQ2 - User study method - Randomized control trial,RQ2 - User study method - Survey,RQ2 - User study method - Usability testing ,RQ2 - User study method - Interviews,RQ2 - User study method - Focus groups,RQ2 - User study method - Case study,RQ2 - User study method - Field study,RQ2 - User study method - Workshop,RQ2 - User study method - Other ,RQ2 - User study location - No user study ,RQ2 - User study location - Near/at researchers lab ,"RQ2 - User study location - Home, residence or school",RQ2 - User study location - Neutral location ,RQ2 - User study location - Online/remote ,RQ2 - User study location - Other,RQ2 - Participatory design - Yes ,RQ2 - Participatory design - No,RQ2 - Contribution type - Empirical ,RQ2 - Contribution type - Artifact ,RQ2 - Contribution type - Methodological ,RQ2 - Contribution type - Theoretical and opinion,RQ2 - Contribution type - Dataset ,RQ2 - Contribution type - Survey ,RQ2 - Use of commercial AAC  - Yes,RQ2 - Use of commercial AAC  - No,RQ3 - Community of Focus  - BVI,RQ3 - Community of Focus  - DHH,RQ3 - Community of Focus  - Motor,RQ3 - Community of Focus  - Autism,RQ3 - Community of Focus  - IDD,RQ3 - Community of Focus  - Other cognitive,RQ3 - Community of Focus  - Older adults,RQ3 - Community of Focus  - General disability,RQ3 - Community of Focus  - Other,RQ3 - Participant groups  - No user study,RQ3 - Participant groups  -  People with disabilities,RQ3 - Participant groups  - People without disabilities,RQ3 - Participant groups  - Specialists,RQ3 - Participant groups  - Caregivers,RQ3 - Use of proxies - Yes ,RQ3 - Use of proxies - No,RQ3 - Ability based comparison - Yes ,RQ3 - Ability based comparison - No ,Analytics - Device name ,Analytics - Community names ,Analytics - Total number of participants 
113,"Mathy-Laikko P., lacono T., Ratcliff A., Villarruel F., Yoder D., Vanderheiden G., Munroe H.B.",Teaching a Child with Multiple Disabilities to Use a Tactile Augmentative Communication Device,1989,Augmentative and Alternative Communication,10.1080/07434618912331275306,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961438584&doi=10.1080%2f07434618912331275306&partnerID=40&md5=32daebb0b53cb961bb939412014e6b6f,"A single case ABA design was used to determine the preferences for tactile surfaces of a child with multiple disabilities including deaf-blindness. Within each session the child tended to depress a switch covered with a velveteen surface more frequently than switches covered with other textured surfaces. In a second phase of the study (BC design) the child's preferred surface was paired with a contingent response of social interaction from her caregiver. The child appeared to become more selective in her activation of the switch with her preferred surface, but did not increase her overall level of activation. Finally, it was found that the child switched to a high proportion of usage of a different surface when it, rather than the velveteen, was paired with the contingent social response. © 1989, Informa UK Ltd. All rights reserved.",Aided Approach; Augmentative and Alternative Communication; Deaf-Blindness; Multiple Disabilities; Tactile Approach,,Article,Scopus,2-s2.0-84961438584,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,"Zygo tread switches, Votrax synthesizer ","Deaf-blind, Cerebral Palsy, Children",1
114,"Brownlee A., Bruening L.M.",Methods of communication at end of life for the person with amyotrophic lateral sclerosis,2012,Topics in Language Disorders,10.1097/TLD.0b013e31825616ef,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860748561&doi=10.1097%2fTLD.0b013e31825616ef&partnerID=40&md5=7c5d18e0134e3e29cde3a2441c3b9609,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease that results in loss of most motor functions by the time of death. Most persons with ALS experience a dysarthria that eventually renders oral/vocal communication unintelligible. This article reviews the communication needs of persons with ALS and the range of communication strategies used, including most forms of augmentative and alternative communication (AAC). Survey data are presented concerning perceived presence and severity of communication deficits, common communication topics, and communication strategies used with different communication partners and at 3 time intervals (2-6 months, 4 weeks, and 1-2 days) before death. Survey data were collected from 625 family members/caregivers in 8 states in the United States, reporting on their experiences with persons with ALS who were deceased at the time of the survey. The analysis focused on patterns of communication used in the last 6 months as end-of-life approaches. Most common communication topics were physical needs, caregiving issues, and family issues. Least common topics were spiritual and death and dying issues. Communication strategies did change as end of life approached, with a decrease in all modes of communication including natural speech, writing, gestures, and electronic AAC. Unaided and low-tech strategies did not increase during the same time interval. Health care providers must be knowledgeable about the communication options available and factors influencing communication choices. Speech-language pathologists play an important role in monitoring speech changes, providing assistance in making choices about communication options, and educating clients, health care providers, and family members. Copyright © 2012 Wolters Kluwer Health | Lippincott Williams & Wilkins.",AAC; ALS; communication; end of life; Lou Gehrig's disease; persons with ALS,,Review,Scopus,2-s2.0-84860748561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,n/a ,ALS ,214 in first wave and 410 in second wave 
115,"Judge S., Townend G.",Perceptions of the design of voice output communication aids,2013,International Journal of Language and Communication Disorders,10.1111/1460-6984.12012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880773892&doi=10.1111%2f1460-6984.12012&partnerID=40&md5=c14165c5238b4019c26a969b6d850b6a,"Background Voice output communication aids (VOCAs) are a key form of aided communication within the field of augmentative and alternative communication (AAC). In recent years, rapid developments in technology have resulted in an explosion of devices available commercially, yet little research has been conducted into what people who use VOCAs think about them. Aims The aim of this research was to explore the perceptions of communication aid design from the perspective of end users and AAC professionals, with the objective being to inform and influence the design of future devices. Methods & Procedures A two-part study was conducted: interviews were undertaken with people who use VOCAs, and questionnaires were distributed to those who use aided communication and to AAC professionals. Analysis of the interview data was carried out using a qualitative method based on framework analysis, whilst descriptive statistics were generated from the questionnaire data. Interview participants were an opportunity sample of VOCA users within a defined region of the UK. Those recruited were over the age of 12 years and able to engage in the interview process; they were identified through the caseloads of local Speech and Language Therapists specializing in AAC. The questionnaire was marketed to the AAC community throughout the UK. Respondents were self-selecting as those using aided communication, their carers and AAC professionals. Outcomes & Results Eighteen people participated in the interviews. Questionnaires were completed by 43 people who use aided communication and 68 AAC professionals. The data suggest that current devices are considered to be neither reliable nor durable by users and professionals. Although features given a higher importance ranking are more likely to be perceived as available, a number of important design deficits are identified by users and/or professionals. Simplicity of design (and use) and the desire for devices which support communication that is as fast and spontaneous as possible also emerge as key requirements. Synthesis of the data produced a framework with three main themes covering the range of issues which influence the successful use of a VOCA: specific aspects of the design of a device; the consideration of the wider picture around the person; and the personal context in which someone uses their device. Conclusions & Implications Although the original aim of the project was to establish the user requirements of VOCA design, the data indicate that the characteristics of the device cannot be considered in isolation. Those factors uncovered highlight questions about whether the design of communication aids is truly effective in meeting the needs of the people who use them. Based on these data, an initial specification for future device design is proposed. © 2013 Royal College of Speech and Language Therapists.",augmentative and alternative communication; user-centred design; voice output communication aids,adolescent; adult; aged; attitude to computers; child; communication aid; computer interface; disabled person; equipment design; human; interpersonal communication; interview; middle aged; perception; psychology; questionnaire; voice; young adult; article; augmentative and alternative communication; communication aid; disabled person; psychological aspect; user-centred design; voice output communication aids; Adolescent; Adult; Aged; Attitude to Computers; Child; Communication; Communication Aids for Disabled; Disabled Persons; Equipment Design; Humans; Interviews as Topic; Middle Aged; Perception; Surveys and Questionnaires; User-Computer Interface; Voice; Young Adult; augmentative and alternative communication; user-centred design; voice output communication aids; Adolescent; Adult; Aged; Attitude to Computers; Child; Communication; Communication Aids for Disabled; Disabled Persons; Equipment Design; Humans; Interviews as Topic; Middle Aged; Perception; Questionnaires; User-Computer Interface; Voice; Young Adult,Article,Scopus,2-s2.0-84880773892,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,"Lightwriter, Pathfinder, Vantage, Say-It-Sam, Powerbox 3, Liberator ",AAC users,18 interviews and 111 survey responses 
116,"Cannella-Malone H.I., DeBar R.M., Sigafoos J.",An examination of preference for augmentative and alternative communication devices with two boys with significant intellectual disabilities,2009,AAC: Augmentative and Alternative Communication,10.3109/07434610903384511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449568719&doi=10.3109%2f07434610903384511&partnerID=40&md5=4fec5cc9bcf8370ba4ec441fee407bf9,"Selecting an appropriate mode of communication is an important clinical decision when beginning an augmentative and alternative communication (AAC) intervention. In the present study, we investigated whether two boys with significant intellectual disabilities would show a preference for using one of three AAC devices. Initially, the boys were taught to use three AAC devices (i.e., Cyrano Communicator™, Mini-MessageMate™, and a Picture Communication Board) using a multiple-probe-across-devices design. One participant was successful with only one device, while the other was successful in acquiring basic use of all three devices (i.e., making a request using the device and demonstrating correspondence between the picture icon and item requested). The child who acquired basic use of all three devices participated in the second phase. A choice assessment was conducted using a free-operant paradigm to determine which of the three devices he preferred. In the final phase, the most preferred device was targeted for more specific instruction (i.e., retrieving the device from a distance, turning the device on, approaching a communication partner, getting the communication partner's attention, and using the device to make a request), using a changing criterion design. Results for this participant indicated that he had a clear preference for one device and was able to learn how to use it in a more functional manner. Limitations and suggestions for future research are discussed. © 2009 International Society for Augmentative and Alternative Communication.",AAC intervention; Intervention; Preference; Significant intellectual disability,AAC intervention; Augmentative and alternative communication devices; Augmentative-and-alternative communication; Clinical decision; Communication board; Communication partners; Intellectual disability; Intervention; Preference; Second phase; Significant intellectual disability; Specific instruction; Communication; Human rehabilitation engineering; adolescent; article; case report; child; communication aid; decision making; human; human relation; learning; male; mental deficiency; observer variation; patient attitude; psychological aspect; time; Adolescent; Child; Choice Behavior; Communication Aids for Disabled; Humans; Interpersonal Relations; Learning; Male; Mental Retardation; Observer Variation; Patient Preference; Practice (Psychology); Time Factors,Article,Scopus,2-s2.0-70449568719,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,"Cyrano Communicator, Mini-MessageMate ",IDD,2
117,"Chan J., Falk T.H., Teachman G., Morin-Mckee J., Chau T.",Evaluation of a non-invasive vocal cord vibration switch as an alternative access pathway for an individual with hypotonic cerebral palsy – a case study,2010,Disability and Rehabilitation: Assistive Technology,10.3109/17483100903278107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77449145344&doi=10.3109%2f17483100903278107&partnerID=40&md5=3102f08044d4536a0582be39d25a048a,"Purpose. A novel non-invasive vocal cord vibration switch for computer access was designed for an individual with hypotonic cerebral palsy. An evaluative case study was performed to compare the new device to an existing commercially available voice-activated switch in terms of sensitivity, specificity, speed, and user fatigue. Method. The participant wrote pangram sentences with the two switches over 4 days with two sessions each day (morning and afternoon). The order of the switches was alternated and a new sentence was used each day. The user's perceived level of exertion was noted before and after each task and activation errors were logged for performance analysis. After using the device for 2 months, a qualitative survey was administered with the participant and his educational assistant. Results. The vocal cord vibration switch outperformed the voice-activated switch in terms of sensitivity (p &lt; 10−4, t-test), speed (p &lt; 10−3), and user-perceived exertion (p &lt; 10−4). Qualitatively, both the participant and his educational assistant were more satisfied with the proposed switch relative to his existing solution. Conclusions. The results of this study show that the vocal cord vibration switch provides a promising new alternative for individuals with severe and multiple disabilities who are able to hum or produce vocalizations. © 2010, Informa UK Ltd. All rights reserved.",aided communication; augmentative and alternative communication (AAC); computer access; vocalization response; Voice switch,adult; case report; cerebral palsy; disabled person; equipment; equipment design; evaluation; hospitalization; human; instrumentation; male; physiology; physiotherapy; quality of life; review; self help; task performance; vibration; vocal cord; Cerebral Palsy; Disabled Persons; Equipment Design; Equipment Safety; Humans; Male; Physical Therapy Modalities; Quality of Life; Self-Help Devices; Severity of Illness Index; Task Performance and Analysis; Vibration; Vocal Cords; Young Adult,Article,Scopus,2-s2.0-77449145344,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,"Voice-activated switch, Vocal cord vibration switch, WiViK keyboard",Cerebral palsy,1
118,"Koester H.H., Levine S.P.",Keystroke-level models for user performance with word prediction,1997,AAC: Augmentative and Alternative Communication,10.1080/07434619712331278068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031352912&doi=10.1080%2f07434619712331278068&partnerID=40&md5=680b46fcbd2e957844858e378b14405b,"Two modeling studies have been performed to develop quantitative models of user performance with word prediction and test their predictions against empirical data. In the first study, the model structure represented performance as a linear combination of two user parameters, keypress and list search time. Two types of simulations were performed using this structure: Model 1A, in which user parameter values were determined independently, and Model 1B, which used parameter values derived from subjects' data. Model simulations of overall session performance, word entry times, and item selection times were compared to actual performance of able-bodied and spinal cord injured subjects transcribing text with and without word prediction over the course of seven test sessions. The average errors for Models 1A and 16 in modeling subjects' word entry times were 27% and 16%, respectively. The second study used a revised model for list search time in an attempt to improve model accuracy and increase understanding of the list search process. The model revision led to only a small improvement in accuracy but did provide insight into how list search time depends on the context of the search. The results point out the need to understand a user's characteristics before applying a model, but they are an encouraging demonstration of the ability of analytical models to represent user performance with word prediction.",Augmentative communication; Group designs; Rate enhancement; User modeling; Word prediction,Computer simulation; Data structures; Mathematical models; Augmentative and alternative communication (AAC); Keystrokes level models; Computer aided instruction,Article,Scopus,2-s2.0-0031352912,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,n/a ,Spinal Cord Injury ,14
119,"Gorenflo D.W., Gorenflo C.W.","Effects of synthetic speech, gender, and perceived similarity on attitudes toward the augmented communicator",1997,AAC: Augmentative and Alternative Communication,10.1080/07434619712331277878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031169046&doi=10.1080%2f07434619712331277878&partnerID=40&md5=6909c1a9c857cd1d40653fffa84d5509,"This study investigated the effects of gender of augmented communicator, listener gender, and perceived similarity on the attitudes of nondisabled individuals toward an augmented communicator. Subjects (n = 95) viewed one of four videotapes depicting an adult voice output communication aid (VOCA) user having a conversation with a normal-speaking individual. The voice synthesizers used in the respective videotapes were DECTalk™ ""Beautiful Betty"" and ""Perfect Paul."" The Attitudes Toward Nonspeaking Persons Scale (ATNP) was used as the dependent variable. Results showed that greater perceived similarity has a positive impact on attitudes toward the augmented communicator. Further, greater similarity produced more favorable attitudes when the gender of the listener and augmented communicator matched. There were no effects for gender of synthetic voice on the attitude scales.",Attitudes; Augmentative communication; Similarity; Synthetic speech,Behavioral research; Learning aids for handicapped persons; Speech synthesis; Attitudes toward nonspeaking persons scale (ATNP); Augmentative communication; Voice output communication aid (VOCA); Speech communication,Article,Scopus,2-s2.0-0031169046,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,DECTalk ,AAC users,95
120,"Fager S.K., Beukelman D.R., Jakobs T., Hosom J.-P.",Evaluation of a speech recognition prototype for speakers with moderate and severe dysarthria: A preliminary report,2010,AAC: Augmentative and Alternative Communication,10.3109/07434618.2010.532508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649347622&doi=10.3109%2f07434618.2010.532508&partnerID=40&md5=4c4630f7d232df1fa2e4c1045954ea68,"This study described preliminary work with the Supplemented Speech Recognition (SSR) system for speakers with dysarthria. SSR incorporated automatic speech recognition optimized for dysarthric speech, alphabet supplementation, and word prediction. Participants included seven individuals with a range of dysarthria severity. Keystroke savings using SSR averaged 68.2% for typical sentences and 67.5% for atypical phrases. This was significantly different to using word prediction alone. The SSR correctly identified an average of 80.7% of target stimulus words for typical sentences and 82.8% for atypical phrases. Statistical significance could not be claimed for the relations between sentence intelligibility and keystroke savings or sentence intelligibility and system performance. The results suggest that individuals with dysarthria using SSR could achieve comparable keystroke savings regardless of speech severity. © 2010 International Society for Augmentative and Alternative Communication.",Dysarthria; Speech recognition; Supplemented speech; Voice recognition,Automatic speech recognition; Dysarthria; Dysarthric speech; Sentence intelligibility; Statistical significance; Supplemented speech; Voice recognition; Word prediction; Speech recognition; adult; article; automatic speech recognition; communication aid; comparative study; dysarthria; evaluation; female; hospitalization; human; male; middle aged; pathophysiology; speech intelligibility; standard; Adult; Communication Aids for Disabled; Dysarthria; Female; Humans; Male; Middle Aged; Severity of Illness Index; Speech Intelligibility; Speech Recognition Software; Young Adult,Article,Scopus,2-s2.0-78649347622,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,Supplemented Speech Recognition System ,"Dysarthria, TBI and Cerebral Palsy",7
121,Bryen D.N.,Job-related social networks and communication technology,2006,AAC: Augmentative and Alternative Communication,10.1080/07434610500194045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745727041&doi=10.1080%2f07434610500194045&partnerID=40&md5=22635c573b331b0ccaa80efb27160e36,"In order to examine the social networks of individuals who rely on AAC, 38 adults who used AAC provided information about how they developed and maintained job-related social networks and how communication technologies helped them to do so. The respondents met new people who might become part of their job-related networks during social events with family or friends, as well as at meetings, conferences, and workshops. They also frequently used generic communication technologies such as the phone, email, computer, and the Internet to maintain contact with people in their social networks. Findings suggest that land-line telephones, email, and the Internet were used by the largest percentage of respondents, with email and the Internet used most frequently to contact the largest number of people. Qualitative data provided information about the use of technology for enhancing participants' job-related networks and suggestions for new or improved technologies. © 2006 International Society for Augmentative and Alternative Communication.",AAC; Communication technology; Employment; Social networks,Employment; Information dissemination; Social aspects; Technical presentations; Technology; Communication technology; Job-related networks; Social networks; Communication,Article,Scopus,2-s2.0-33745727041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,n/a ,Cerebral palsy,38
122,"Nelson Bryen D., Slesaransky G., Brown Baker D.",Augmentative Communication and Empowerment Supports: A Look at Outcomes,1995,Augmentative and Alternative Communication,10.1080/07434619512331277169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961415222&doi=10.1080%2f07434619512331277169&partnerID=40&md5=36cd0aecd9edc97c910d7c26e8a5edcd,"Augmentative Communication and Empowerment Supports (ACES), a unique approach to augmentative communication mastery and empowerment for adults with significant physical and speech disabilities, is described. In addition, the results of a questionnaire developed to measure participants outcomes are reported for those participants who attended ACES between 1990 and 1992. After a 2-week immersion program and 1 year of follow-up training and supports, most of the 17 adults who responded to a questionnaire reported that learning to use a communication device had substantially helped them in many of the major life activities such as communication, maintaining a source of income, and acquiring new skills. The scope of communication was quite broad, including communicating with unfamiliar people, in a group; on the telephone; writing; giving formal presentations; and engaging in a wide range of advocacy. Based on this data, best practices in augmentative and alternative communication (AAC) are described as well as major issues still facing people with significant physical and speech disabilities. © 1995, Informa UK Ltd. All rights reserved.",adults; aided communication; communication competence; efficacy; empowerment; intervention; service delivery; user perspective,,Article,Scopus,2-s2.0-84961415222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,"TouchTalker, LightTalker, Liberator, EZ keys ",AAC users,17
123,"Todman J., Elder L., Alm N.",Evaluation of the Content of Computer-Aided Conversations,1995,Augmentative and Alternative Communication,10.1080/07434619512331277359,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029544907&doi=10.1080%2f07434619512331277359&partnerID=40&md5=e832a6df029dcf91f431790e2dd56803,"The study reports an experimental evaluation of the content of computer-aided and unaided conversations on the same fairly broad topic (i.e. holidays). The computer-aided conversations involved volunteers and one of the researchers, who simulated a non-speaking person using an alternative communication system, TALK (talk aid using preloaded knowledge). The unaided conversations were between pairs of volunteers. Transcripts of randomly sampled sections of the conversations and audio recordings of re-enactments of the samples with pauses removed were rated for social competence on a six-item scale (coefficient alpha = 0.83) by 24 judges. The content of the TALK-aided samples was rated significantly higher than that of the unaided samples (p <. 001). The judges also rated the individual contributions of the TALK user and her unaided partners on how socially worthwhile and involving these appeared. There was no significant difference between the ratings of their respective contributions (p >. 05). © 1995, Informa UK Ltd. All rights reserved.",aided and unaided communication; assistive devices; communication efficacy; computers; content evaluation; conversation; dialogue evaluation; pragmatic intervention; prestored text; social competence; speech output; VOCA,Computer applications; Computers; Sound recording; Speech; Speech production aids; Vocoders; Computer aided conversation; Content evaluation; Conversation; Dialogue evaluation; Pragmatic intervention; Talk aid using preloaded knowledge; Voice synthesizer; Speech communication,Article,Scopus,2-s2.0-0029544907,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,TALK conversation,AAC users,34
124,"Morin K.L., Ganz J.B., Gregori E.V., Foster M.J., Gerow S.L., Genç-Tosun D., Hong E.R.",A systematic quality review of high-tech AAC interventions as an evidence-based practice,2018,AAC: Augmentative and Alternative Communication,10.1080/07434618.2018.1458900,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046034384&doi=10.1080%2f07434618.2018.1458900&partnerID=40&md5=1c603f71724cf7b17a93ca85f956c890,"Although high-tech augmentative and alternative communication (AAC) is commonly used to teach social-communication skills to people with autism spectrum disorder or intellectual disabilities who have complex communication needs, there is a critical need to evaluate the efficacy of this approach. The aim of this systematic review was to evaluate the quality of single-case experimental design research on the use of high-tech AAC to teach social-communication skills to individuals with autism spectrum disorder or intellectual disabilities who have complex communication needs, to determine if this intervention approach meets the criteria for evidence-based practices as outlined by the What Works Clearinghouse. Additionally, information on the following extended methodological standards is reported on all included studies: participant description, description of setting and materials, interventionist description, baseline and intervention description, maintenance, generalization, procedural integrity, and social validity. The results from 18 multiple-baseline or multiple-probe experiments across 17 studies indicate that using high-tech AAC to teach social-communication skills to individuals with autism spectrum disorder or intellectual disabilities and complex communication needs can be considered an evidence-based practice, although the review of comparison (i.e., alternating treatment) design studies did not indicate that high-tech AAC is significantly better than low-tech AAC. © 2018 International Society for Augmentative and Alternative Communication.",augmentative and alternative communication; autism spectrum disorder; Evidence-based practice; high-tech AAC; intellectual disability; quality of design and evidence; quality of methodology; systematic review,Design of experiments; Diseases; Occupational therapy; Augmentative-and-alternative communication; Autism spectrum disorders; Evidence-based practices; High tech; Intellectual disability; Quality of design; Systematic Review; Quality control; autism; communication aid; communication disorder; evidence based practice; human; intellectual impairment; interpersonal communication; technology; Autism Spectrum Disorder; Communication; Communication Aids for Disabled; Communication Disorders; Evidence-Based Practice; Humans; Intellectual Disability; Technology,Article,Scopus,2-s2.0-85046034384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,n/a ,AAC users,n/a 
